Tipo,Clave,Número de Documento,Código Cliente,Folio,Fecha de Documento,Último día mes Documento,Fecha de Vencimiento,Monto Documento,Número de Pago_SAP,Fecha de Pago,Monto Pago,Número de Pago,Importe Acumulado de Pagos,Importe Acumulado al Saldo
Factura,VENTA,F10000,C001,FOL-10000,2024-12-21,2024-12-28,2025-01-20,17012,P10000,2025-01-19,17012,P10000,17012,0
Factura,VENTA,F10001,C001,FOL-10001,2025-01-21,2025-01-28,2025-02-20,10848,P10001,2025-02-16,10848,P10001,10848,0
Factura,VENTA,F10002,C001,FOL-10002,2025-02-19,2025-02-28,2025-03-21,11070,P10002,2025-05-27,11070,P10002,11070,0
Factura,VENTA,F10003,C001,FOL-10003,2025-03-29,2025-03-28,2025-04-28,14515,P10003,2025-05-15,14515,P10003,14515,0
Factura,VENTA,F10004,C001,FOL-10004,2025-04-28,2025-04-28,2025-05-28,21746,P10004,,0,P10004,0,21746
Factura,VENTA,F10005,C001,FOL-10005,2025-05-20,2025-05-28,2025-06-19,13231,P10005,2025-06-24,13231,P10005,13231,0
Factura,VENTA,F10006,C001,FOL-10006,2025-06-23,2025-06-28,2025-07-23,13094,P10006,,0,P10006,0,13094
Factura,VENTA,F10007,C001,FOL-10007,2025-07-20,2025-07-28,2025-08-19,20449,P10007,,0,P10007,0,20449
Factura,VENTA,F10008,C001,FOL-10008,2025-08-22,2025-08-28,2025-09-21,9423,P10008,2025-10-03,9423,P10008,9423,0
Factura,VENTA,F10009,C001,FOL-10009,2025-09-18,2025-09-28,2025-10-18,20403,P10009,2025-12-10,20403,P10009,20403,0
Factura,VENTA,F10010,C001,FOL-10010,2025-10-22,2025-10-28,2025-11-21,14300,P10010,2025-11-17,14300,P10010,14300,0
Factura,VENTA,F10011,C001,FOL-10011,2025-11-19,2025-11-28,2025-12-19,17482,P10011,2025-12-21,17482,P10011,17482,0
Factura,VENTA,F10012,C002,FOL-10012,2025-02-08,2025-02-28,2025-03-10,17108,P10012,2025-03-16,17108,P10012,17108,0
Factura,VENTA,F10013,C002,FOL-10013,2025-03-06,2025-03-28,2025-04-05,20130,P10013,2025-04-21,20130,P10013,20130,0
Factura,VENTA,F10014,C002,FOL-10014,2025-04-07,2025-04-28,2025-05-07,10339,P10014,2025-05-07,10339,P10014,10339,0
Factura,VENTA,F10015,C002,FOL-10015,2025-05-11,2025-05-28,2025-06-10,16021,P10015,,0,P10015,0,16021
Factura,VENTA,F10016,C002,FOL-10016,2025-06-10,2025-06-28,2025-07-10,15196,P10016,2025-07-29,15196,P10016,15196,0
Factura,VENTA,F10017,C002,FOL-10017,2025-07-02,2025-07-28,2025-08-01,15505,P10017,2025-08-21,15505,P10017,15505,0
Factura,VENTA,F10018,C002,FOL-10018,2025-08-06,2025-08-28,2025-09-05,21145,P10018,2025-09-06,21145,P10018,21145,0
Factura,VENTA,F10019,C002,FOL-10019,2025-09-05,2025-09-28,2025-10-05,14967,P10019,2025-10-12,14967,P10019,14967,0
Factura,VENTA,F10020,C002,FOL-10020,2025-10-07,2025-10-28,2025-11-06,12681,P10020,2025-11-08,12681,P10020,12681,0
Factura,VENTA,F10021,C002,FOL-10021,2025-11-07,2025-11-28,2025-12-07,16609,P10021,2025-12-15,16609,P10021,16609,0
Factura,VENTA,F10022,C002,FOL-10022,2025-12-05,2025-12-28,2026-01-04,19861,P10022,,0,P10022,0,19861
Factura,VENTA,F10023,C002,FOL-10023,2025-12-30,2025-12-28,2026-01-29,9543,P10023,2026-01-28,9543,P10023,9543,0
Factura,VENTA,F10024,C003,FOL-10024,2024-06-11,2024-06-28,2024-07-11,10081,P10024,2024-07-25,10081,P10024,10081,0
Factura,VENTA,F10025,C003,FOL-10025,2024-07-12,2024-07-28,2024-08-11,16238,P10025,2024-08-06,16238,P10025,16238,0
Factura,VENTA,F10026,C003,FOL-10026,2024-08-05,2024-08-28,2024-09-04,16743,P10026,2024-09-09,16743,P10026,16743,0
Factura,VENTA,F10027,C003,FOL-10027,2024-09-04,2024-09-28,2024-10-04,17617,P10027,2024-10-13,17617,P10027,17617,0
Factura,VENTA,F10028,C003,FOL-10028,2024-10-03,2024-10-28,2024-11-02,16630,P10028,2024-11-21,16630,P10028,16630,0
Factura,VENTA,F10029,C003,FOL-10029,2024-11-04,2024-11-28,2024-12-04,24635,P10029,2024-12-19,24635,P10029,24635,0
Factura,VENTA,F10030,C003,FOL-10030,2024-12-06,2024-12-28,2025-01-05,24635,P10030,2025-01-04,24635,P10030,24635,0
Factura,VENTA,F10031,C003,FOL-10031,2025-01-06,2025-01-28,2025-02-05,13293,P10031,2025-02-24,13293,P10031,13293,0
Factura,VENTA,F10032,C003,FOL-10032,2025-02-08,2025-02-28,2025-03-10,8018,P10032,2025-03-20,8018,P10032,8018,0
Factura,VENTA,F10033,C003,FOL-10033,2025-03-02,2025-03-28,2025-04-01,11665,P10033,2025-04-21,11665,P10033,11665,0
Factura,VENTA,F10034,C003,FOL-10034,2025-04-05,2025-04-28,2025-05-05,15846,P10034,2025-07-15,15846,P10034,15846,0
Factura,VENTA,F10035,C003,FOL-10035,2025-05-02,2025-05-28,2025-06-01,23924,P10035,2025-06-20,23924,P10035,23924,0
Factura,VENTA,F10036,C004,FOL-10036,2020-04-03,2020-04-28,2020-05-03,12207,P10036,2020-05-15,12207,P10036,12207,0
Factura,VENTA,F10037,C004,FOL-10037,2020-05-03,2020-05-28,2020-06-02,16685,P10037,2020-06-16,16685,P10037,16685,0
Factura,VENTA,F10038,C004,FOL-10038,2020-06-06,2020-06-28,2020-07-06,14940,P10038,2020-07-25,14940,P10038,14940,0
